epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.55338,5.94123,11.0118,2.94816,0,0,0,0,1.92428,25.1154,0.92274,0,0,0
2,14.5475,5.62982,9.39739,3.15251,0,0,0,0,2.71864,17.4635,1.29029,7.29018e-06,7.29018e-06,7.29018e-06
3,20.7747,5.97786,11.2906,3.19594,0,0,0,0,3.35567,16.0304,1.5746,1.09807e-05,1.09807e-05,1.09807e-05
4,26.9061,4.94554,7.45188,3.20633,0,0,0,0,3.92159,16.947,1.83142,1.10716e-05,1.10716e-05,1.10716e-05
5,32.8852,5.01717,7.56576,3.08817,0,0,0,0,4.22734,16.2845,1.95785,7.56288e-06,7.56288e-06,7.56288e-06
