epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60098,4.53733,10.9496,3.3954,0,0,0,0,0.00058,14.4712,0.00032,0,0,0
2,17.9674,5.90585,16.4489,4.39232,0,0,0,0,0.00059,14.295,0.00032,7.29018e-06,7.29018e-06,7.29018e-06
3,25.6938,5.50306,15.8816,5.32739,0,0,0,0,0.00047,13.8464,0.00026,1.09807e-05,1.09807e-05,1.09807e-05
4,33.5056,4.98933,18.5165,4.95957,0,0,0,0,0.00046,13.35,0.00025,1.10716e-05,1.10716e-05,1.10716e-05
5,42.1404,3.54901,22.7758,2.09346,0,0,0,0,0.00043,13.0748,0.00024,7.56288e-06,7.56288e-06,7.56288e-06
