epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.7016,4.03616,10.2232,3.04845,0,0,0,0,0.00055,5.07412,0.00031,0,0,0
2,17.2211,5.18529,16.8647,4.59653,0,0,0,0,0.00054,5.0478,0.0003,7.29018e-06,7.29018e-06,7.29018e-06
3,25.9569,5.81469,15.8573,6.48029,0,0,0,0,0.00053,4.89829,0.00029,1.09807e-05,1.09807e-05,1.09807e-05
4,34.4901,4.22668,9.82577,3.62323,0,0,0,0,0.00047,4.67026,0.00026,1.10716e-05,1.10716e-05,1.10716e-05
5,44.0325,5.6539,15.7606,5.63535,0,0,0,0,0.00049,4.53562,0.00027,7.56288e-06,7.56288e-06,7.56288e-06
