epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.40772,5.84385,10.4777,2.85869,0,0,0,0,1.09943,8.16448,0.63046,0,0,0
2,12.9149,5.48562,9.24764,3.03106,0,0,0,0,2.43216,9.18497,1.17103,7.29018e-06,7.29018e-06,7.29018e-06
3,20.0398,5.90054,11.1905,3.13954,0,0,0,0,2.88323,10.1971,1.31954,1.09807e-05,1.09807e-05,1.09807e-05
4,26.9778,4.86781,7.33804,3.18268,0,0,0,0,3.77043,11.7676,1.7228,1.10716e-05,1.10716e-05,1.10716e-05
5,33.3828,4.99972,7.51805,3.07828,0,0,0,0,3.96455,12.2502,1.82958,7.56288e-06,7.56288e-06,7.56288e-06
